City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Killin,US,89.69,scattered clouds,33.6123,-91.7412,US Forestry Department
338,Dharchula,IN,71.78,overcast clouds,29.85,80.5333,Mahara Hotel
339,Belen,TR,69.94,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
340,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Hotel San Juan
342,Dawei,MM,75.16,light rain,14.0833,98.2,Hotel Dawei
343,Broken Hill,AU,49.28,broken clouds,-31.95,141.4333,Royal Exchange Hotel
344,Nome,US,48.27,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
346,Pafos,CY,76.78,clear sky,34.7667,32.4167,Elysium Hotel
347,Gushikawa,JP,85.59,broken clouds,26.3544,127.8686,Kirari Guest House
351,Mount Isa,AU,53.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
353,Gweta,BW,56.89,few clouds,-20.1833,25.2333,Gweta Lodge
354,Bac Lieu,VN,75.54,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
355,Grindavik,IS,53.55,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
356,Wewak,PG,81.59,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
357,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
358,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
360,Tena,EC,71.42,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
363,Tchollire,CM,71.11,moderate rain,8.4022,14.1698,"Auberge ""l'amicale"""
365,Teberda,RU,56.64,broken clouds,43.4456,41.7448,U Ally Hotel
366,Nayoro,JP,68.52,clear sky,44.3506,142.4578,名寄 大雪荘
367,Wanning,CN,79.95,few clouds,18.8003,110.3967,Paradise Hotel
368,Mehamn,NO,57.11,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
369,Salinopolis,BR,78.57,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
372,Vila Franca Do Campo,PT,73.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
373,Bom Jesus Do Itabapoana,BR,65.39,scattered clouds,-21.1339,-41.6797,Hotel São Geraldo
374,Camacha,PT,67.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
375,Saurimo,AO,72.68,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
376,Samana,DO,76.96,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
377,Athens,GR,84.18,clear sky,37.9795,23.7162,Safestay Athens
378,Inyonga,TZ,67.93,broken clouds,-6.7167,32.0667,Eden Rock Lodge
379,Kosa,RU,55.94,light rain,59.9445,54.9977,Gostinitsa V Kose
380,Abbeville,FR,64.36,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
381,Asau,RO,63.52,clear sky,46.4333,26.4,Casa Mika Ciobanus
382,Apac,UG,62.94,light rain,1.9756,32.5386,Double Duez Apac
383,Killybegs,IE,55.45,overcast clouds,54.6333,-8.45,Tara Hotel
384,Aksu,CN,75.4,clear sky,41.1231,80.2644,Pudong Holiday Hotel
385,Nagato,JP,76.69,scattered clouds,34.3833,131.2,いそう庵
386,Takoradi,GH,73.69,broken clouds,4.8845,-1.7554,Raybow International Hotel
387,Leh,IN,64.53,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
388,Kattivakkam,IN,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
